S. No.,Name & Address of cold storage,Capacity in Metric Tons,Sector,Products stored,Latitude,Longitude
184,"GHANSHYAM TRADING CO.,GHANSHYAM TRADING CO.,",454,Privateÿ,Multipurposeÿ,21.209409,72.872947
185,"GUJARAT COLD STORAGE & ICE FACTORY,Outside Ahmedabadi Gate, Nadiad - 387001.",630,Privateÿ,Potatoesÿ,22.6980138,72.8567502
186,"GUJARAT COLD STORAGE & ICE FACTORY,Kanipura, Outside Ahmedabadi Gate,Nadiad - 387001.",668,Privateÿ,Multipurposeÿ,22.6980138,72.8567502
187,"JALARAM COLD STORAGE,Vadtal Bhalej Road, PO Chaklasi - 387315.",3372,Privateÿ,Potatoesÿ,22.6474,72.944298
189,KAIRA DIST COOP. MILK PROD. UNION LTD.Anand - 388001.,2192,Cooperativeÿ,Dairyÿ Products,22.5632024,72.960281
190,KAIRA DIST COOP MILK PROD.ÿ UNION LTD. Mogar.,216,Cooperativeÿ,Dairy Productsÿ,22.519092,73.019233
193,"MANIBHAI ZAVERBHAI PATEL & CO. COLD STORAGE,PO Boriavi, Anand - 387310.",5126,Privateÿ,Potatoesÿ,22.6340084,72.95518095
194,"NEW COLD STORAGE & ICE PLANT,Near Kanjari Bus Stand,Kanjari - 387325.",2287,Privateÿ,Potatoesÿ,22.616797,72.922981
195,"SANTRAM COLD STORAGE,Uttarsanda.",1463,Privateÿ,Potatoesÿ,22.658449,72.895973
197,"SATHI COLD STORAGE PVT. LTD.,Cold Storage at Chaklashi,Khoda, Nadiad.",1812,Privateÿ,Potatoes,22.6980138,72.8567502
198,"SHITAL COLD STORAGE & ICE PLANT,Post Box No. 2, Vidyanagar Via Anand,CS at NH No. 8, Boriavi.",4869,Privateÿ,Potatoesÿ,22.6980138,72.8567502
199,"SHREE YOGESHWAR ICE & COLD STORAGE,Marida Bhagol, Nadiad - 387001.",940,Privateÿ,Multipurposeÿ,22.6980138,72.8567502
200,"SHRI UMIYA COLD STORAGE & ICE FACTORY,Boriavi - 387310.",1727,Privateÿ,Potatoes,22.611712,72.9343532
201,"SUBASH COLD STORAGE,Near Railway Station,Uttarsanda.",1464,Privateÿ,Potatoesÿ,22.611712,72.9343532
202,"GOPAL(V B) COLD STORAGE & ICE PLANT,Boriavi Road, Boriavi - 387310.",2707,Privateÿ,Potatoesÿ,22.6552355,72.8893279
203,"V.J. COLD STORAGE,GIDC Plot No. 190-193,Vithal Udyog Nagar, Anand - 388120.",1352,Privateÿ,Potatoesÿ,22.54037785,72.92552585
204,"VIMAL COLD STORAGE,NH-8, Boriavi - 387510.",1985,Privateÿ,Multipurposeÿ,22.607431,72.941451
205,"AMAR COLD STORAGE,Lambhavel, Tal, Anand.",10104,Privateÿ,Potatoesÿ,22.583789,72.933552
206,"ANNAPURNA COLD STORAGE,C3/17, GIDC Estate,Nadiad - 387001.",1326,Privateÿ,Potatoesÿ,22.6980138,72.8567502
207,"CHAKLASI SEVA SAHKARI MANDI LTD.,Chaklasi.",3065,Cooperative,Potatoesÿ,22.6980138,72.8567502
209,"CHINTAL COLD STORAGE PVT. LTD.,Chaklashi - 387315.",4912,Privateÿ,Potatoesÿ,22.648681,72.934154
210,"GOKOOL COLD STORAGE,NH-8, PO Boriavi.",1419,Privateÿ,Potatoesÿ,23.526342,72.361459
211,"KRISHNA COLD STORAGENH No. 8, Kanjari - 387325.",4381,Privateÿ,Potatoesÿ,22.6115935,72.9279936
212,"MAHALAXMI COLD STORAGE,NH-8, Boriavi - 387310.",3802,Privateÿ,Potatoesÿ,22.610399,72.931297
